transaction_id,customer_id,customer_segment,transaction_date,category,product_name,quantity,unit_price,total_revenue,profit,customer_satisfaction,region,channel,quarter,month,year,day_of_week,profit_margin_pct,revenue_per_unit,high_value,customer_ltv,is_holiday_quarter,is_summer
TXN_000001,CUST_00001,Budget,2023-12-26 12:05:18.336306,Home & Garden,Tools,1,650.4,650.4,227.64,3.7,Central,Mobile App,Q4,12,2023,Tuesday,35.0,650.4,False,650.4,True,False
TXN_000002,CUST_00002,Premium,2025-07-07 12:05:18.336306,Books,Tech,2,80.81,161.61,64.65,4.1,Central,Mobile App,Q3,7,2025,Monday,40.00371264154446,80.805,False,1536.67,False,True
TXN_000003,CUST_00002,Regular,2023-11-12 12:05:18.336306,Books,Comics,1,39.21,39.21,15.68,3.7,West,Mobile App,Q4,11,2023,Sunday,39.98979852078551,39.21,False,1536.67,True,False
TXN_000004,CUST_00002,Regular,2025-06-22 12:05:18.336306,Clothing,Shoes,1,340.23,340.23,153.1,4.2,South,Mobile App,Q2,6,2025,Sunday,44.998971284131315,340.23,False,1536.67,False,True
TXN_000005,CUST_00002,Regular,2024-12-12 12:05:18.336306,Home & Garden,Decor,1,718.52,718.52,251.48,4.4,South,Mobile App,Q4,12,2024,Thursday,34.999721650058454,718.52,False,1536.67,True,False
TXN_000006,CUST_00002,Budget,2024-10-20 12:05:18.336306,Clothing,Jeans,1,259.22,259.22,116.65,2.8,South,Mobile App,Q4,10,2024,Sunday,45.00038577270272,259.22,False,1536.67,True,False
TXN_000007,CUST_00002,Regular,2024-04-18 12:05:18.336306,Books,Biography,1,17.88,17.88,7.15,3.6,East,Website,Q2,4,2024,Thursday,39.98881431767338,17.88,False,1536.67,False,True
TXN_000008,CUST_00003,Budget,2024-11-06 12:05:18.336306,Sports,Apparel,1,93.73,93.73,28.12,4.4,South,Website,Q4,11,2024,Wednesday,30.001066894270778,93.73,False,3189.61,True,False
TXN_000009,CUST_00003,Regular,2025-04-10 12:05:18.336306,Home & Garden,Plants,2,1349.02,2698.04,944.31,3.4,East,Physical Store,Q2,4,2025,Thursday,34.99985174422914,1349.02,True,3189.61,False,True
TXN_000010,CUST_00003,Regular,2024-10-16 12:05:18.336306,Electronics,Laptop,1,179.22,179.22,44.81,4.3,West,Mobile App,Q4,10,2024,Wednesday,25.002789867202324,179.22,False,3189.61,True,False
TXN_000011,CUST_00003,Regular,2025-01-11 12:05:18.336306,Sports,Accessories,2,109.31,218.62,65.59,5.0,West,Third Party,Q1,1,2025,Saturday,30.001829658768642,109.31,False,3189.61,False,False
TXN_000012,CUST_00004,Regular,2025-06-21 12:05:18.336306,Books,Comics,2,35.24,70.48,28.19,3.3,North,Website,Q2,6,2025,Saturday,39.99716231555051,35.24,False,3939.64,False,True
TXN_000013,CUST_00004,Regular,2024-09-25 12:05:18.336306,Electronics,Headphones,1,885.01,885.01,221.25,4.0,Central,Mobile App,Q3,9,2024,Wednesday,24.99971751731619,885.01,False,3939.64,False,True
TXN_000014,CUST_00004,Budget,2025-07-09 12:05:18.336306,Electronics,Headphones,1,546.54,546.54,136.63,2.6,North,Third Party,Q3,7,2025,Wednesday,24.999085153877118,546.54,False,3939.64,False,True
TXN_000015,CUST_00004,Regular,2023-09-16 12:05:18.336306,Sports,Equipment,1,456.84,456.84,137.05,2.7,West,Website,Q3,9,2023,Saturday,29.999562209964104,456.84,False,3939.64,False,True
TXN_000016,CUST_00004,Regular,2024-10-19 12:05:18.336306,Sports,Supplements,1,393.7,393.7,118.11,4.9,North,Website,Q4,10,2024,Saturday,30.0,393.7,False,3939.64,True,False
TXN_000017,CUST_00004,Budget,2024-08-28 12:05:18.336306,Books,Educational,1,19.83,19.83,7.93,3.7,West,Third Party,Q3,8,2024,Wednesday,39.989914271306105,19.83,False,3939.64,False,True
TXN_000018,CUST_00004,Budget,2025-03-18 12:05:18.336306,Electronics,Tablet,1,429.05,429.05,107.26,4.4,South,Third Party,Q1,3,2025,Tuesday,24.999417317328984,429.05,False,3939.64,False,False
TXN_000019,CUST_00004,Budget,2023-09-16 12:05:18.336306,Books,Biography,1,56.96,56.96,22.79,2.4,East,Physical Store,Q3,9,2023,Saturday,40.010533707865164,56.96,False,3939.64,False,True
TXN_000020,CUST_00004,Regular,2025-07-18 12:05:18.336306,Home & Garden,Furniture,2,285.13,570.26,199.59,4.3,Central,Website,Q3,7,2025,Friday,34.99982464139165,285.13,False,3939.64,False,True
TXN_000021,CUST_00004,Regular,2025-08-20 12:05:18.336306,Sports,Equipment,1,151.99,151.99,45.6,3.2,East,Mobile App,Q3,8,2025,Wednesday,30.001973814066712,151.99,False,3939.64,False,True
TXN_000022,CUST_00004,Regular,2024-12-17 12:05:18.336306,Sports,Accessories,1,358.98,358.98,107.69,4.7,West,Mobile App,Q4,12,2024,Tuesday,29.998885731795642,358.98,False,3939.64,True,False
TXN_000023,CUST_00005,Regular,2025-07-04 12:05:18.336306,Electronics,Smartphone,1,2387.25,2387.25,596.81,4.7,West,Website,Q3,7,2025,Friday,24.999895276992355,2387.25,True,2387.25,False,True
TXN_000024,CUST_00006,Regular,2025-01-23 12:05:18.336306,Home & Garden,Plants,1,1410.7,1410.7,493.74,5.0,East,Website,Q1,1,2025,Thursday,34.99964556603105,1410.7,True,1551.3600000000001,False,False
TXN_000025,CUST_00006,Regular,2025-04-02 12:05:18.336306,Clothing,Accessories,1,140.66,140.66,63.3,3.1,North,Website,Q2,4,2025,Wednesday,45.00213280250249,140.66,False,1551.3600000000001,False,True
TXN_000026,CUST_00007,Regular,2023-10-23 12:05:18.336306,Clothing,Dress,1,140.83,140.83,63.37,3.5,West,Physical Store,Q4,10,2023,Monday,44.99751473407654,140.83,False,4256.95,True,False
TXN_000027,CUST_00007,Premium,2024-09-02 12:05:18.336306,Home & Garden,Furniture,6,686.02,4116.12,1440.64,5.0,North,Website,Q3,9,2024,Monday,34.99995141055169,686.02,True,4256.95,False,True
TXN_000028,CUST_00008,Regular,2023-11-07 12:05:18.336306,Sports,Equipment,1,334.59,334.59,100.38,4.4,Central,Website,Q4,11,2023,Tuesday,30.000896619743568,334.59,False,360.02,True,False
TXN_000029,CUST_00008,Budget,2025-07-01 12:05:18.336306,Books,Non-Fiction,1,25.43,25.43,10.17,2.9,South,Website,Q3,7,2025,Tuesday,39.99213527329925,25.43,False,360.02,False,True
TXN_000030,CUST_00009,Regular,2024-01-19 12:05:18.336306,Sports,Equipment,1,96.58,96.58,28.97,3.8,North,Mobile App,Q1,1,2024,Friday,29.99585835576724,96.58,False,3699.22,False,False
TXN_000031,CUST_00009,Regular,2024-06-12 12:05:18.336306,Sports,Outdoor,1,483.3,483.3,144.99,3.4,North,Website,Q2,6,2024,Wednesday,30.0,483.3,False,3699.22,False,True
TXN_000032,CUST_00009,Premium,2023-10-31 12:05:18.336306,Books,Biography,2,118.78,237.56,95.02,2.2,North,Mobile App,Q4,10,2023,Tuesday,39.99831621485098,118.78,False,3699.22,True,False
TXN_000033,CUST_00009,Budget,2025-02-17 12:05:18.336306,Books,Non-Fiction,1,20.35,20.35,8.14,4.0,Central,Mobile App,Q1,2,2025,Monday,40.0,20.35,False,3699.22,False,False
TXN_000034,CUST_00009,Regular,2024-08-15 12:05:18.336306,Electronics,Headphones,2,1430.71,2861.43,715.36,3.2,West,Website,Q3,8,2024,Thursday,25.000087368902964,1430.715,True,3699.22,False,True
TXN_000035,CUST_00010,Budget,2024-11-14 12:05:18.336306,Home & Garden,Furniture,1,1038.64,1038.64,363.53,4.1,North,Mobile App,Q4,11,2024,Thursday,35.00057767850265,1038.64,False,2094.4300000000003,True,False
TXN_000036,CUST_00010,Regular,2025-05-08 12:05:18.336306,Home & Garden,Furniture,1,1055.79,1055.79,369.53,4.7,West,Mobile App,Q2,5,2025,Thursday,35.000331505318286,1055.79,False,2094.4300000000003,False,True
TXN_000037,CUST_00011,Regular,2025-07-21 12:05:18.336306,Electronics,Tablet,1,2377.78,2377.78,594.45,5.0,Central,Website,Q3,7,2025,Monday,25.00021028017731,2377.78,True,9460.64,False,True
TXN_000038,CUST_00011,Budget,2024-06-19 12:05:18.336306,Electronics,Smart Watch,1,1194.59,1194.59,298.65,4.0,East,Website,Q2,6,2024,Wednesday,25.00020927682301,1194.59,False,9460.64,False,True
TXN_000039,CUST_00011,Budget,2024-12-02 12:05:18.336306,Books,Fiction,1,21.35,21.35,8.54,4.1,Central,Website,Q4,12,2024,Monday,39.99999999999999,21.35,False,9460.64,True,False
TXN_000040,CUST_00011,Budget,2024-12-26 12:05:18.336306,Electronics,Camera,1,2014.54,2014.54,503.63,4.9,East,Website,Q4,12,2024,Thursday,24.999751804382143,2014.54,True,9460.64,True,False
TXN_000041,CUST_00011,Budget,2023-11-27 12:05:18.336306,Electronics,Camera,1,1819.84,1819.84,454.96,3.3,East,Mobile App,Q4,11,2023,Monday,25.0,1819.84,True,9460.64,True,False
TXN_000042,CUST_00011,Regular,2024-02-26 12:05:18.336306,Sports,Equipment,1,398.85,398.85,119.66,4.7,West,Website,Q1,2,2024,Monday,30.00125360411182,398.85,False,9460.64,False,False
TXN_000043,CUST_00011,Regular,2024-12-02 12:05:18.336306,Home & Garden,Kitchen Appliances,1,1633.69,1633.69,571.79,4.1,West,Mobile App,Q4,12,2024,Monday,34.99990818331507,1633.69,True,9460.64,True,False
TXN_000044,CUST_00012,Premium,2024-12-13 12:05:18.336306,Electronics,Smartphone,2,6201.12,12402.24,3100.56,3.9,North,Physical Store,Q4,12,2024,Friday,25.0,6201.12,True,14958.89,True,False
TXN_000045,CUST_00012,Budget,2024-01-26 12:05:18.336306,Sports,Footwear,1,24.57,24.57,7.37,4.0,Central,Website,Q1,1,2024,Friday,29.99592999593,24.57,False,14958.89,False,False
TXN_000046,CUST_00012,Regular,2024-11-28 12:05:18.336306,Electronics,Smartphone,1,2532.08,2532.08,633.02,5.0,North,Third Party,Q4,11,2024,Thursday,25.0,2532.08,True,14958.89,True,False
TXN_000047,CUST_00013,Regular,2024-09-06 12:05:18.336306,Books,Biography,1,38.24,38.24,15.3,2.1,South,Website,Q3,9,2024,Friday,40.01046025104603,38.24,False,822.53,False,True
TXN_000048,CUST_00013,Regular,2025-08-18 12:05:18.336306,Electronics,Smartphone,1,784.29,784.29,196.07,3.7,East,Physical Store,Q3,8,2025,Monday,24.99968124035752,784.29,False,822.53,False,True
TXN_000049,CUST_00014,Regular,2024-05-27 12:05:18.336306,Electronics,Laptop,2,232.5,464.99,116.25,3.4,North,Physical Store,Q2,5,2024,Monday,25.000537645970883,232.495,False,1261.1100000000001,False,True
TXN_000050,CUST_00014,Regular,2024-05-10 12:05:18.336306,Sports,Apparel,2,267.7,535.4,160.62,4.6,South,Website,Q2,5,2024,Friday,30.000000000000004,267.7,False,1261.1100000000001,False,True
TXN_000051,CUST_00014,Premium,2024-10-23 12:05:18.336306,Books,Fiction,2,130.36,260.72,104.29,5.0,Central,Third Party,Q4,10,2024,Wednesday,40.00076710647438,130.36,False,1261.1100000000001,True,False
TXN_000052,CUST_00015,Regular,2024-02-06 12:05:18.336306,Electronics,Smart Watch,1,540.31,540.31,135.08,4.5,South,Website,Q1,2,2024,Tuesday,25.00046269734042,540.31,False,1063.37,False,False
TXN_000053,CUST_00015,Regular,2024-02-15 12:05:18.336306,Home & Garden,Bedding,1,523.06,523.06,183.07,5.0,Central,Mobile App,Q1,2,2024,Thursday,34.99980881734409,523.06,False,1063.37,False,False
TXN_000054,CUST_00016,Budget,2024-11-22 12:05:18.336306,Books,Non-Fiction,1,22.8,22.8,9.12,2.2,South,Website,Q4,11,2024,Friday,40.0,22.8,False,4627.2699999999995,True,False
TXN_000055,CUST_00016,Regular,2024-08-14 12:05:18.336306,Clothing,Dress,1,213.83,213.83,96.22,5.0,North,Website,Q3,8,2024,Wednesday,44.99836318570827,213.83,False,4627.2699999999995,False,True
TXN_000056,CUST_00016,Regular,2025-03-13 12:05:18.336306,Clothing,Jacket,1,59.68,59.68,26.86,3.8,East,Website,Q1,3,2025,Thursday,45.006702412868634,59.68,False,4627.2699999999995,False,False
TXN_000057,CUST_00016,Regular,2024-09-08 12:05:18.336306,Electronics,Tablet,1,2105.9,2105.9,526.48,4.5,East,Website,Q3,9,2024,Sunday,25.000237428177975,2105.9,True,4627.2699999999995,False,True
TXN_000058,CUST_00016,Regular,2025-05-10 12:05:18.336306,Sports,Outdoor,1,106.99,106.99,32.1,3.5,South,Mobile App,Q2,5,2025,Saturday,30.002804000373867,106.99,False,4627.2699999999995,False,True
TXN_000059,CUST_00016,Regular,2024-05-20 12:05:18.336306,Home & Garden,Tools,2,33.38,66.75,23.36,3.9,West,Website,Q2,5,2024,Monday,34.99625468164794,33.375,False,4627.2699999999995,False,True
TXN_000060,CUST_00016,Regular,2025-09-09 12:05:18.336306,Books,Tech,1,55.09,55.09,22.04,4.6,East,Mobile App,Q3,9,2025,Tuesday,40.007260845888545,55.09,False,4627.2699999999995,False,True
TXN_000061,CUST_00016,Regular,2025-02-01 12:05:18.336306,Home & Garden,Furniture,1,1222.5,1222.5,427.87,5.0,South,Mobile App,Q1,2,2025,Saturday,34.99959100204499,1222.5,False,4627.2699999999995,False,False
TXN_000062,CUST_00016,Regular,2025-02-20 12:05:18.336306,Books,Non-Fiction,1,78.29,78.29,31.32,3.8,South,Mobile App,Q1,2,2025,Thursday,40.00510920934985,78.29,False,4627.2699999999995,False,False
TXN_000063,CUST_00016,Regular,2025-05-01 12:05:18.336306,Sports,Outdoor,1,588.03,588.03,176.41,3.8,Central,Third Party,Q2,5,2025,Thursday,30.00017005935071,588.03,False,4627.2699999999995,False,True
TXN_000064,CUST_00016,Regular,2024-06-17 12:05:18.336306,Books,Tech,1,20.75,20.75,8.3,3.8,Central,Third Party,Q2,6,2024,Monday,40.0,20.75,False,4627.2699999999995,False,True
